"","unigram","n"
"849","seed",58
"850","silver",58
"851","vein",58
"852","complete",57
"853","heavy",57
"854","laughter",57
"855","shift",57
"856","strike",57
"857","strip",57
"858","sunday",57
"859","tread",57
"860","unite",57
"861","class",56
"862","deserve",56
"863","dollar",56
"864","enemy",56
"865","find",56
"866","goddamn",56
"867","jealous",56
"868","pussy",56
"869","steppin",56
"870","truck",56
"871","violence",56
"872","will",56
"873","worse",56
"874","bar",55
"875","boogie",55
"876","cheat",55
"877","dog",55
"878","horse",55
"879","lawd",55
"880","leavin",55
"881","mountains",55
"882","noise",55
"883","rush",55
"884","surrender",55
"885","underneath",55
"886","wander",55
"887","weep",55
"888","amaze",54
"889","cast",54
"890","cat",54
"891","drip",54
"892","fantasy",54
"893","fist",54
"894","flower",54
"895","gain",54
"896","grip",54
"897","handle",54
"898","hero",54
"899","holiday",54
"900","loverman",54
"901","north",54
"902","ought",54
"903","pimp",54
"904","pound",54
"905","rescue",54
"906","weed",54
"907","bullshit",53
"908","carry",53
"909","chest",53
"910","coffee",53
"911","date",53
"912","deceive",53
"913","even",53
"914","expect",53
"915","final",53
"916","givin",53
"917","ignore",53
"918","jail",53
"919","mission",53
"920","plus",53
"921","silent",53
"922","stress",53
"923","weight",53
"924","bare",52
"925","comfort",52
"926","common",52
"927","confuse",52
"928","cure",52
"929","dollars",52
"930","fallin",52
"931","float",52
"932","hiphop",52
"933","solo",52
"934","takin",52
"935","abuse",51
"936","compare",51
"937","cost",51
"938","create",51
"939","dancin",51
"940","embrace",51
"941","endless",51
"942","pump",51
"943","reveal",51
"944","roof",51
"945","rope",51
"946","sail",51
"947","score",51
"948","separate",51
"949","stage",51
"950","toss",51
"951","yell",51
"952","action",50
"953","breeze",50
"954","cell",50
"955","corn",50
"956","doctor",50
"957","echo",50
"958","guy",50
"959","hat",50
"960","plain",50
"961","speed",50
"962","trade",50
"963","trip",50
"964","angry",49
"965","aren",49
"966","attack",49
"967","beast",49
"968","calm",49
"969","conquer",49
"970","ears",49
"971","folks",49
